name,ratings,num_ratings,processor,ram,os,storage,display,price,org_price,Brand,num_reviews,ram_type,Discount
HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,4.4,133.0,Intel Core i3 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,35.56,52490,63179.0,HP,7.0,DDR4,16.918596369046675
Asus Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) X413JA-EK268T Thin and Light Laptop,3.9,9.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,512 GB SSD,35.56,36990,40871.0,Asus,2.0,DDR4,9.495730469036726
Apple MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,4.8,117.0,Intel Core i7 Processor (9th Gen),16,Mac OS Operating System,512 GB SSD,40.64,195000,199990.0,Apple,15.0,DDR4,2.495124756237812
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,4.5,650.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,39.62,54990,94990.0,MSI,117.0,DDR4,42.10969575744815
MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,4.6,5.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,39.62,54990,72990.0,MSI,0.0,DDR4,24.66091245376079
Asus ROG Strix G15 Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GT...,4.5,11.0,Intel Core i7 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,39.62,82990,116990.0,Asus,2.0,DDR4,29.062313018206687
Honor MagicBook 15 Ryzen 5 Quad Core 3500U - (8 GB/256 GB SSD/Windows 10 Home) Boh-WAQ9HNR Thin and Li...,4.7,1299.0,AMD Ryzen 5 Quad Core Processor,8,64 bit Windows 10 Operating System,256 GB SSD,,42990,49990.0,Honor,463.0,DDR4,14.002800560112021
Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,4.0,431.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,39.62,42990,66190.0,Lenovo,62.0,DDR4,35.05061187490558
Apple MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/512 GB SSD/Mac OS Catalina) MWP42HN/A,4.7,66.0,Intel Core i5 Processor (10th Gen),16,Mac OS Operating System,512 GB SSD,33.02,144990,174900.0,Apple,13.0,LPDDR4X,17.101200686106345
Asus TUF Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,4.8,8.0,AMD Ryzen 5 Quad Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,43.94,54990,67990.0,Asus,0.0,DDR4,19.120458891013385
Dell Vostro Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) Vostro 3401 Thin and Light Laptop,3.5,4.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,1 TB HDD,35.56,34690,38703.0,Dell,2.0,DDR4,10.368705268325453
Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) S145-15IIL Thin and Light Lapto...,4.3,20.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,1 TB HDD,39.62,31990,42490.0,Lenovo,4.0,DDR4,24.71169686985173
HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- DR1009TU Thin and Light Laptop,4.3,121.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,35.56,60990,62999.0,HP,23.0,DDR4,3.188939506976301
Acer Aspire 5 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) A514-53-59U1 Thin and Light Laptop,4.3,288.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,512 GB SSD,35.56,47990,59999.0,Acer,52.0,DDR4,20.015333588893146
Dell G3 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX...,3.8,21.0,Intel Core i7 Processor (10th Gen),16,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,88990,98501.0,Dell,3.0,DDR4,9.655739535639233
Lenovo Ideapad Slim APU Dual Core A4 A4-9120E - (4 GB/64 GB EMMC Storage/Windows 10 Home) 1-14AST-05 T...,3.5,826.0,AMD APU Dual Core A4 Processor,4,64 bit Windows 10 Operating System,,35.56,20990,21325.0,Lenovo,120.0,DDR4,1.570926143024619
MSI GF65 Thin Core i5 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 166...,4.8,40.0,Intel Core i5 Processor (9th Gen),16,64 bit Windows 10 Operating System,512 GB SSD,,74990,99990.0,MSI,10.0,DDR4,25.002500250025
Asus TUF Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,4.3,3.0,AMD Ryzen 7 Quad Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,43.94,59990,72990.0,Asus,0.0,DDR4,17.81065899438279
Acer Aspire 7 Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce ...,4.2,195.0,AMD Ryzen 7 Quad Core Processor,8,64 bit Windows 10 Operating System,512 GB SSD,39.62,54990,79999.0,Acer,28.0,DDR4,31.26164077050963
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,4.8,56.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,55990,79690.0,Lenovo,6.0,DDR4,29.740243443342955
Apple MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVK2HN/A,4.6,21.0,Intel Core i9 Processor (9th Gen),16,Mac OS Operating System,1 TB SSD,40.64,194990,239900.0,Apple,1.0,DDR4,18.720300125052105
Apple MacBook Pro with Touch Bar Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MXK32HN/A,4.7,78.0,Intel Core i5 Processor (8th Gen),8,Mac OS Operating System,256 GB SSD,33.02,118990,122990.0,Apple,18.0,LPDDR3,3.252296934710139
Lenovo ThinkPad E14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) E14 Thin and Light Laptop,4.7,30.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,256 GB SSD,35.56,32990,64872.0,Lenovo,4.0,DDR4,49.14601060550006
MSI GL65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,4.6,62.0,Intel Core i7 Processor (10th Gen),16,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,,109990,153990.0,MSI,12.0,DDR4,28.573283979479186
Acer Aspire 5 Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) A514-53-316M Thin an...,4.4,171.0,Intel Core i3 Processor (10th Gen),4,64 bit Windows 10 Operating System,512 GB SSD,35.56,37990,55999.0,Acer,24.0,DDR4,32.15950284826515
HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-du2002TU Thin and Light Laptop,4.4,202.0,Intel Core i3 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD,39.62,47389,47390.0,HP,24.0,DDR4,0.002110149820637265
Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,4.5,200.0,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,64990,112890.0,Lenovo,31.0,DDR4,42.430684737354945
Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,4.6,3834.0,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,39.62,59990,77890.0,Asus,508.0,DDR4,22.981127230709973
